,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta
KMI,0.66,29.272727272727273,0.01457925054932003,1.3060157966625097,0.7545302739810749,0.037525879917184264,0.97
KHC,8.52,4.102112676056339,0.009635237439779766,0.8282021870459586,0.5494370320559606,0.07153075822603719,0.97
KR,4.38,6.511415525114155,0.04090433873497125,3.9899372713016206,0.6944592431397079,0.01858345021037868,0.73
LB,2.73,9.912087912087912,0.03272450532724505,-6.95662100456621,-0.7160381644706951,0.08869179600886919,0.73
LLL,9.7888,21.846395881006863,0.03855380397532557,1.3099725839616176,8.894762255711708,0.01496375964461071,1.14
LH,8.71,17.07921928817451,0.022649682990504058,1.318931634965717,4.820614469772051,,1.18
LRCX,18.2495,9.820543028576125,0.09834358597480829,0.861649761607285,4.210016186849987,0.021202990737640887,1.45
LEG,2.2782,20.138705995961725,0.04578438147892191,1.9215618521078093,1.4507200003067062,0.03269398430688753,1.1
LEN,5.2739,9.528053243330362,0.054128320509466255,0.9521099116108146,3.8533870939589114,0.0031840796019900496,1.38
LLY,3.1044,39.94330627496456,0.11447088628201084,3.357442998565426,1.399142377006432,0.018145161290322582,0.48
LNC,7.6061,8.257845676496498,0.027804878048780488,19.85965156794425,5.566349102315021,0.021652603088680146,1.87
LKQ,1.8212,15.00658906215682,0.027704391731364374,1.3816703371167203,0.604953441670883,,1.64
LMT,17.74,17.31285231116122,0.8988522238163558,31.152797704447632,7.846037874739439,0.02669879204245759,1.28
L,1.96,24.382653061224488,-0.008910249486985636,3.074306080570256,2.0045037086530955,0.0052312199204854574,N/A
LOW,4.5,23.615555555555556,0.1164256581386726,5.806266221727846,1.259096066165436,0.016749788275148208,1.46
M,5.5312,4.34986982933179,0.010940532909828833,2.5967884242103407,-0.374023878985387,0.0627597672485453,0.34
MAR,4.7831,26.93650561351425,0.20783132530120482,9.255163511187607,2.037346466156597,0.011487115802545793,1.01
MMC,3.26,28.38957055214724,0.020174050632911392,1.8452004219409284,2.2003968253968256,0.017504051863857378,0.74
MLM,7.46,25.46916890080429,0.01906852773622402,0.929808833857436,4.21776,0.00968421052631579,0.92
