,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta,cluster
DVA,0.84,69.8809523809524,-0.04044129758208715,3.801116096863404,2.3406756537469877,0.0,1.72,5
DE,10.55,15.731753554502369,0.04400677978071647,5.170597997846008,-5.160356507576255,0.016509007651985298,0.86,19
DAL,5.66,9.102473498233216,0.07445020822678454,3.4031562796814496,2.0089844613005376,0.02542701863354037,1.08,19
XRAY,-7.44,0.0,0.0054453520031116295,0.7030143912874368,0.5643726297248234,0.008407398510689406,0.79,17
DVN,6.5073,4.556421249980791,0.1242107554974962,1.1299804049640758,1.2365959388546657,0.01079258010118044,2.54,19
DFS,7.8128,9.146528773295103,0.06118598382749326,8.879335130278529,2.299093655589124,0.020990764063811927,1.62,19
DISCA,-1.5665,0.0,0.012074913750616069,2.7943568260226708,5.946039057565569,0.0,1.29,18
DISCK,-1.5665,0.0,0.012074913750616069,2.7943568260226708,2.5871282044164388,0.0,1.29,18
DISH,3.37,9.73887240356083,0.03921501106136007,2.5204893430287374,1.5018021433956998,0.0,1.56,10
DG,6.78,17.46017699115044,0.052572040287682864,1.064388327799357,1.5855966890339466,0.009545531339753336,0.95,1
DLTR,7.39,13.140730717185384,0.035477332527602566,1.0960708035905378,1.1854435433037778,0.0,0.54,19
DOV,3.81,24.23359580052493,0.05113256709187746,2.021589097420924,2.5562746220876083,0.020578360229611174,1.67,1
DWDP,1.66,33.1144578313253,0.0050015332395766145,0.971238540355923,2.262325036811013,0.02765144624340549,1.05,16
DTE,6.1696,20.053163900414933,0.01865780990524568,2.497899775324802,3.5289461533387567,0.029037342386032974,0.41,1
DUK,3.7575,23.928143712574855,0.010589497227103636,2.3177762055823083,2.0894085281980743,0.04042931820709599,0.16,1
DXC,5.48,12.166058394160585,0.041916167664670656,1.5890945381963346,0.5591360974536942,0.011249437528123593,1.87,10
ETFC,3.91,12.503836317135551,0.04114599207558671,8.905973788479121,1.878334246130753,0.002863571282470853,1.06,10
EMN,7.63,11.068152031454783,0.005859038428399104,1.062898500775461,5.293276108726753,0.02723505032563647,0.96,19
EBAY,2.5914,14.467083429806282,0.12099984078968318,2.6330202197102373,1.3477177334732424,0.0,1.25,10
EIX,1.42,43.24647887323944,0.04241071428571429,3.2468584656084656,3.2350043430086766,0.03940726266080443,-0.14,11
EW,3.44,50.148255813953476,0.0022290154120494206,0.6952299070182142,1.410240366566233,0.0,0.9,11
EA,4.65,20.62795698924731,0.04902694610778443,0.657372754491018,3.1842881747419858,0.0,1.37,1
EMR,3.6159,18.957935783622336,0.05645944633317145,1.4755949490043712,0.5255279685008624,0.02837345003646973,1.36,1
ETR,4.6934,19.766054459453702,-0.0068759945571938725,4.326194458845592,2.902380452904352,0.0385900614422766,0.27,1
EOG,8.6,11.10813953488372,0.06424219474422646,0.8144828564601071,3.7757987111637634,0.007929446247252172,1.54,19
EQT,-8.57,0.0,-0.05810126800598892,0.8909391289413645,2.0837723051318484,0.006214396685655101,0.95,17
EFX,2.4923,44.44087790394415,0.008237338310058562,1.2862796833773087,1.3667841592369894,0.014084507042253518,1.48,11
EQIX,4.57,93.77242888402624,0.015240026046922412,1.8042465182464895,6.948986192312478,0.021281560647780837,0.96,4
EL,4.46,35.6457399103139,0.13307013469577333,1.9375290292614955,6.377860759203683,0.009875456032205307,0.48,16
RE,2.39,93.68619246861923,-0.0483658248610416,2.1369703752775244,2.620547136390474,0.02367022464383011,0.18,4
EXC,2.0841,23.386593733506068,0.0049408399427902745,2.8148485242491224,2.030428586454597,0.02831350020517029,0.48,1
EXPE,2.7276,46.553746883707284,0.0041423001949317745,3.0097465886939574,-1.0789493265867995,0.009765317372814615,0.65,11
EXPD,3.5543,21.326280842922657,0.09019859696663744,0.6678143864774079,0.594759357042114,0.01187335092348285,0.89,1
XOM,4.88,16.069672131147538,0.031283564657914216,0.1970864573448596,2.0313901345291483,0.04118847232848763,0.98,10
FFIV,8.1717,21.058041778332537,0.09289392188976914,1.052171889059515,3.328645211217846,0.0,0.79,1
FB,7.6562,21.144954416028842,0.08180489022549241,0.15698883830399274,3.1934203300734008,0.0,1.23,1
FAST,2.63,23.825095057034225,0.07330525035827506,0.44243713901072657,0.6225256354657751,0.024577082668368982,1.51,1
FRT,3.0171,44.79798481986013,0.02250488194038001,1.5713031850158423,2.044079283543555,0.029890500147972773,0.74,11
FDX,18.6676,9.668623711671561,0.048357002176842544,1.7619467191873122,5.661880755734667,0.01274308825973738,1.83,0
FIS,2.58,41.50775193798449,0.02927068037200196,1.3262848751835536,2.152750635137776,0.011952563264543841,0.84,11
FE,1.1165,36.47111509180474,0.02025242148517757,4.879512767830937,1.6070862695981527,0.03536345776031434,0.33,16
FISV,0.0,0.0,0.1247274313126908,3.9114696903619715,1.4597905673497769,0.0,0.97,18
FLIR,2.0519,25.634777523271122,0.05249186641417828,0.4819174908593734,0.7106282707375604,0.012167300380228136,1.5,1
FLS,0.9158,50.84079493339158,0.03842320139559098,1.799592039286008,1.2570439487379352,0.01632302405498282,1.81,11
FLR,1.6715,22.96739455578821,0.02541715083417022,1.9546500454810738,0.8624207353484801,0.02188069809846314,2.16,1
F,0.94,9.265957446808512,-0.0032283201603027947,6.119169542469107,0.3473208686860931,0.06888633754305395,0.8,10
FTV,8.5,9.57294117647059,0.3202638162383444,0.954089909786976,1.329745889387145,0.0034410716480275287,1.17,19
FBHS,0.0,0.0,0.039114865485263065,1.7374896703700302,1.8422262296241287,0.01644398766700925,1.75,18
BEN,3.04,10.766447368421053,0.028054261497732262,0.30184497301290864,0.4885085670546211,0.029025358997861288,0.93,10
FCX,1.5607,8.470558082911515,0.0139824453970198,2.4825474586650342,-0.04278635805280665,0.0113464447806354,1.58,10
GPS,2.41,10.273858921161828,0.07732558139534884,1.3758720930232555,0.05505539621533476,0.03867124394184168,0.42,10
GRMN,3.69,22.51219512195122,0.04567648032392227,0.29303185655255115,1.1492497136613868,0.025279884434814017,0.95,1
GD,11.33,15.228596646072376,0.07748039549948857,2.8704398227071257,7.1712069276565025,0.02156021792048221,1.27,19
GIS,3.4736,13.409719023491476,0.05162512402657928,3.4362127544424066,1.3223314995081683,0.0420781451266638,0.93,10
GM,5.6604,7.064871740513039,0.052599073597529585,4.749408131755019,4.278173510798308,0.0380095023755939,1.03,19
GPC,5.53,20.037974683544306,0.054108578849547485,2.669520303287889,1.4965896469722468,0.025990434076346897,0.98,1
GILD,4.2004,15.650890391391293,0.00013931457230426304,1.9569517971579824,1.8291731669266766,0.03468208092485549,1.24,10
